Ticket;Open Time;Type;Size;Item;Price;S / L;T / P;Close Time;Price;Commission;Taxes;Swap;Profit;
128047037;06.10.2022 2:34;buy;0.40;nzdjpy;83.477;83.611;107.413;06.10.2022 9:03;83.611;-2,80;0,00;0,00;37,08;
128047070;06.10.2022 16:19;sell;0.18;gbpjpy;162.603;162.244;112.827;06.10.2022 21:00;162.207;-1,26;0,00;0,00;49,17;
128047098;06.10.2022 19:00;sell;0.40;nzdjpy;81.981;82.211;58.045;06.10.2022 22:00;81.949;-2,80;0,00;0,00;8,82;
128047114;06.10.2022 16:50;buy;0.61;usdjpy;144.847;144.698;165.935;06.10.2022 21:00;144.976;-4,27;0,00;0,00;54,28;
128047128;06.10.2022 16:19;sell;0.18;gbpjpy;162.603;162.414;112.827;06.10.2022 21:00;162.207;-1,26;0,00;0,00;49,17;
128047193;06.10.2022 16:30;sell;0.57;cadjpy;105.708;105.707;88.844;06.10.2022 21:00;105.554;-3,99;0,00;0,00;60,55;
128047357;06.10.2022 16:30;sell;0.57;cadjpy;105.708;105.868;88.844;06.10.2022 21:00;105.555;-3,99;0,00;0,00;60,16;
128047374;06.10.2022 16:30;sell;0.54;cadjpy;105.708;105.707;88.844;06.10.2022 21:00;105.555;-3,78;0,00;0,00;56,98;
128047378;06.10.2022 16:30;sell;0.54;cadjpy;105.708;105.877;88.844;06.10.2022 21:00;105.555;-3,78;0,00;0,00;56,98;
128049843;06.10.2022 2:34;buy;0.42;nzdjpy;83.477;83.791;107.413;06.10.2022 8:05;83.791;-2,94;0,00;0,00;91,24;
128049845;06.10.2022 2:34;buy;0.42;nzdjpy;83.477;83.611;107.413;06.10.2022 9:03;83.611;-2,94;0,00;0,00;38,93;
128051707;06.10.2022 17:05;sell;0.38;chfjpy;146.440;146.435;133.400;06.10.2022 21:07;146.435;-2,66;0,00;0,00;1,31;
128051991;06.10.2022 17:05;sell;0.38;chfjpy;146.440;146.680;133.400;06.10.2022 22:00;146.439;-2,66;0,00;0,00;0,27;
128051997;06.10.2022 3:12;buy;0.36;chfjpy;147.255;147.332;160.295;06.10.2022 7:30;147.332;-2,52;0,00;0,00;19,17;
128052001;06.10.2022 17:05;sell;0.36;chfjpy;146.440;146.435;133.400;06.10.2022 21:07;146.435;-2,52;0,00;0,00;1,24;
128052034;06.10.2022 3:12;buy;0.36;chfjpy;147.255;147.332;160.295;06.10.2022 9:03;147.332;-2,52;0,00;0,00;19,17;
128052036;06.10.2022 17:05;sell;0.36;chfjpy;146.440;146.694;133.400;06.10.2022 22:00;146.439;-2,52;0,00;0,00;0,25;
128076872;06.10.2022 16:50;buy;0.62;usdjpy;144.847;144.701;165.935;06.10.2022 21:00;144.975;-4,34;0,00;0,00;54,74;
