Ticket;Open Time;Type;Size;Item;Price;S / L;T / P;Close Time;Price;Commission;Taxes;Swap;Profit;;;;
1520402359;2023.03.02 08:45:01;buy;0.01;gbpusd;1.19921;0.00000;0.00000;2023.03.02 10:50:34;1.19938;0.00;0.00;0.00;0.17;;;;
1520403787;2023.03.02 09:14:40;buy;0.02;eurcad;1.44805;0.00000;0.00000;2023.03.03 16:00:06;1.44665;0.00;0.00;-0.16;-2.06;;;;
1520403921;2023.03.02 09:15:47;buy;0.02;audcad;0.91663;0.00000;0.00000;2023.03.03 14:57:30;0.91776;0.00;0.00;-0.07;1.67;;;;
1520404090;2023.03.02 09:17:01;buy;0.02;xauusd;1830.99;0.00;0.00;2023.03.02 10:55:25;1834.50;0.00;0.00;0.00;7.02;;;;
1520404577;2023.03.02 09:23:27;buy;0.02;gbpusd;1.19721;0.00000;0.00000;2023.03.02 10:50:34;1.19937;0.00;0.00;0.00;4.32;;;;
1520415290;2023.03.02 11:30:42;buy;0.02;eurcad;1.44608;0.00000;0.00000;2023.03.03 16:00:06;1.44670;0.00;0.00;-0.16;0.92;;;;
1520435963;2023.03.02 15:29:58;buy;0.03;eurcad;1.44527;0.00000;0.00000;2023.03.03 16:00:07;1.44671;0.00;0.00;-0.24;3.18;;;;
1520410195;2023.03.02 15:30:05;buy;0.02;usdjpy;136.871;136.886;162.727;2023.03.02 15:44:32;136.885;0.00;0.00;0.00;0.20;;;;
1520409415;2023.03.02 15:30:05;buy;0.02;usdjpy;136.871;136.900;162.727;2023.03.02 15:44:19;136.899;0.00;0.00;0.00;0.41;;;;
1520439538;2023.03.02 15:47:59;buy;0.05;eurcad;1.44327;0.00000;0.00000;2023.03.03 16:00:07;1.44673;0.00;0.00;-0.39;12.70;;;;
1520440071;2023.03.02 15:52:43;buy;0.02;audcad;0.91458;0.00000;0.00000;2023.03.03 14:57:30;0.91775;0.00;0.00;-0.07;4.66;;;;
1520441746;2023.03.02 16:00:25;buy stop;0.02;usdjpy;137.094;136.870;166.518;2023.03.02 20:59:00;136.734;cancelled;;;;;;;
1520441955;2023.03.02 16:02:17;buy stop;0.02;usdjpy;137.094;136.870;166.518;2023.03.02 20:59:00;136.734;cancelled;;;;;;;
1520448482;2023.03.02 17:00:00;buy;0.01;gbpusd;1.19398;0.00000;0.00000;2023.03.02 17:02:42;1.19545;0.00;0.00;0.00;1.47;;;;
